CHIP_MANUFACTURER:	MISTUBISHI
CHIP_MODEL	:	MIST-2000-IC.
CHIP_DIAMETER:200  # unit in mm.#
CHIP_ROWS:28
CHIP_COLUMNS:16
DIEPITCH: 6.3495000e+03 1.1509200e+04   # in micrometer ie 6.3495 mm & 11.5092 mm
DIEORIGIN: 0.0000000e+00 0.0000000e+00   # in um

DEFECT DATA:DEFECT No.,ROW,COLUMN,X_COORDINATE,Y_COORDINATE,DEFECTIMAGE
474,22,2,3815100,1655100,227
475,22,2,3831300,1678200,227
2157,22,10,3851400,10703000,722
476,22,2,3863800,1708700,227
477,22,2,3916800,1774200,227
478,22,2,3924400,1789100,227
805,22,5,3986700,8451500,227
1641,22,9,4073800,8288600,227
806,22,5,4335000,699200,227
479,22,2,4486900,7968500,227
480,22,2,4510600,7983300,227
807,22,5,4555600,3511200,227
481,22,2,4724500,8510400,22
808,22,5,4735600,9079400,227
2639,22,13,4762500,9591200,272
809,22,5,4884700,10432200,227
482,22,2,4901100,10592300,227
483,22,2,4943100,10607700,227
2158,22,10,5062200,8316900,227
1232,22,6,5154000,9723300,228
484,22,2,5176000,10700300,228
2159,22,10,5227300,8383400,22
1228,22,6,1905400,5966100,228
2628,22,13,1932900,6795900,2287
1229,22,6,1945600,5967200,2287
1230,22,6,1965700,6796100,228787
804,22,5,1972800,8174000,2287
1231,22,6,2101600,9373100,2287
2629,22,13,2138100,8074200,2287
2630,22,13,2193400,8423300,2287
2631,22,13,2216400,47300,228
2632,22,13,2656800,11035500,7822
2633,22,13,2660200,11053500,2279
1639,22,9,2858100,2509500,22
2634,22,13,2897500,5927400,222121
2635,22,13,2913400,882300,221
2636,22,13,2928300,1568900,22
1640,22,9,3149400,11233500,221
2637,22,13,3157000,9126200,2221
2154,22,10,3235300,5497200,22
2638,22,13,3274300,11036900,222
467,22,2,3290700,372600,2232
2155,22,10,3299100,4339200,2322
468,22,2,3394500,8444000,2232
469,22,2,3403600,8447300,2232
470,22,2,3410400,8449400,2232
471,22,2,3432100,5912000,22
1636,22,9,1258500,6767300,2243
2620,22,13,1337200,2648100,2243
796,22,5,1342200,10012800,2243
2621,22,13,1346200,2634300,224
1637,22,9,1399200,5609900,2234
797,22,5,1416400,5372900,2234
1638,22,9,1445500,5274600,22465
2152,22,10,1565500,11325900,224
798,22,5,1639500,6470400,2266
464,22,2,1652800,1753200,225
465,22,2,1661500,1758300,2265
2153,22,10,1665900,6350600,2265
799,22,5,1677000,9102300,226
800,22,5,1677100,7055700,2267
204,22,1,1707100,4202000,226
2622,22,13,1710600,5330300,262
2623,22,13,1720600,5330300,2276
2624,22,13,1728700,5394500,2276
801,22,5,1750900,6530600,22
802,22,5,1770700,6062700,2276
2625,22,13,1790500,5802300,227
803,22,5,1801200,7384100,2267
2626,22,13,1815700,6034200,226
466,22,2,1831000,8179100,227
2627,22,13,1837300,6111800,272
790,22,5,220300,6543200,226
2144,22,10,221800,7117700,262
2146,22,10,279900,6111000,227
2145,22,10,279900,6033300,227
2147,22,10,281500,6048500,22
2148,22,10,303900,5739200,227
2149,22,10,321300,5403300,227
2150,22,10,337500,2667600,227
1632,22,9,382800,8116800,2276
2151,22,10,434200,3933200,227
1226,22,6,696600,6948600,2267
791,22,5,742000,5312700,226
2616,22,13,757500,10353600,7622
463,22,2,758500,519500,2276
792,22,5,776200,6573600,2276
1633,22,9,795000,9269100,227
793,22,5,805800,7649000,226
2617,22,13,813000,10371900,722
2618,22,13,844900,9802700,226
1634,22,9,865500,10355400,227
2619,22,13,1181500,1248800,226
794,22,5,1208700,4717800,2276
1635,22,9,1222200,1013000,2276
1227,22,6,1225500,41400,227
795,22,5,1255200,4498500,226
200,21,1,5526100,3294000,226
457,21,2,5547100,5054100,227
785,21,5,5557500,5987900,226
1225,21,6,5746200,2353500,2267
458,21,2,5808000,10398000,226
786,21,5,5821900,7185600,226
1627,21,9,5851200,9613500,2276
201,21,1,5855100,902000,227
787,21,5,5869000,9398100,226
459,21,2,5910400,5349900,226
460,21,2,5915800,5357900,22
461,21,2,5919000,5362200,226
462,21,2,5923200,5367800,226
202,21,1,5933200,2501900,226
1628,21,9,5990400,8400800,226
203,21,1,6020100,222200,226
788,21,5,6024100,4993400,227
1629,21,9,6164100,5890200,227
2141,21,10,6174100,8937500,227
1630,22,9,59800,3516900,227
1631,22,9,121500,10030700,2872
789,22,5,133600,8553600,22877
2142,22,10,145600,8747300,22
2615,22,13,204300,248400,2287
2143,22,10,205200,7446300,2287
2610,21,13,4137000,4934100,2287
193,21,1,4248400,4050300,227
2611,21,13,4369300,10833200,722
194,21,1,4393900,32000,227
2612,21,13,4644400,75077007,22
2613,21,13,4649200,7462200,722
454,21,2,4661500,6770900,22
455,21,2,4727500,6735600,227
2139,21,10,4815600,10625100,722
1623,21,9,4846600,3952500,227
781,21,5,4933900,6326400,227
1624,21,9,5045500,4101200,227
195,21,1,5052400,8636700,22
456,21,2,5055300,4302200,22
196,21,1,5061100,8640900,227
782,21,5,5202400,3092300,227
197,21,1,5215500,8716200,22
2614,21,13,5225200,10790600,722
1625,21,9,5271000,300600,227
783,21,5,5299500,6772700,227
1626,21,9,5308000,2037600,227
2140,21,10,5360200,6523100,2278
784,21,5,5363100,6754200,22
198,21,1,5374900,8793600,228
199,21,1,5419900,1337600,228
2603,21,13,3221100,2564400,222
END_DEFECT_DATA

